,comment
0,Excelente qualidade.
1,Qualidade razer de sempre.
2,"Muito bom mesmo. Ótima câmera, ótima qualidade de imagem. Com dois microfones, capitação limpinha."
3,Qualidade do áudio e vídeo muito boa. Chegou rápido. Melhor investimento.
4,Original hp qualidade condizente com o valor.
5,"Vale o preço, dinâmica e completa."
6,Sensacional! imagem impecável.
7,Melhor webcam que eu já testei.
8,Não encontrei o som.
9,"A imagem é muito boa, mas o som é meio abafado, mas no geral achei que valeu a pena a compra."
10,"Muito boa, imagem perfeita custo benefício exelente."
11,"Achri muito boa, pelo prevo com certeza vale mto a pena e pra comecar live streaming e suficiente."
12,"Boa qualidade de imagem, vídeo nítido."
13,"De acordo com o anunciado, bom produto, recomendo!."
14,Muito bom e super economico um produto excelente.
15,Foco muito brilhante. Não se consegue um equilíbrio mesmo nos ajustes.
16,"Bom, atendeu as minhas expectativas."
17,"Não tenho nem 1 mês com a cam e ela já trava nas lives, às vezes ela desconecta sozinha e tenho que repor o usb dela, se você é igual a eu que tem um pc razoável, faz lives com ela na resolução 240p ou 360p da qualidade dela mesma. Só que mesmo assim ela trava."
18,Câmera muito boa. Atendeu as expectativas.
19,"Bom custo beneficio. Para coisas mais simpled, serve."
20,Muito top super indico qualidade otima.
21,Compramos para reunião on line e atendeu bem a finalidade.
22,"A camara até que possui uma boa qualidade de imagem, porém, ficou aparecendo recortes e traços quando ligada!."
23,Produto com preço excelente e qualidade boa de imagem. Otimo custo x benéfico!.
24,"Boa camera, atendeu minhas expectativas!."
25,Atendeu as minhas expectativas.
26,"Produto excelente, recomendo a compra."
27,"Muito bom! recomendo muito, alta qualidade! e com um preço super acessível."
28,Muito ruim a imagem é muito distorcida não tem nada de hd nesta câmera do meu notebook não é hd é muito melhor que está. Não indico.
29,Ótimo mto boa exatamente o que eu esperava.
30,Muito bom! funcionou perfeitamente!.
31,Produto atende minhas necessidades! perfeito!.
32,Fácil de instalar e de boa resolução. Gostei!!!.
33,"A camera não é hd, na imagem aparecem pontos, é realmente ruim."
34,"Amei, funciona muito bem a imagem é otima."
35,Ela e boa para estudos trabalho e etc.
36,"Comprei duas, atendeu todas as minhas expectativas!!!."
37,"Camera boa, durante o dia faz filmagens claras, mas durante a noite, achei que deixou a desejar na luz artificial."
38,"Bom, mas peguei por menos de r$ 200,00 mais que isso não sei se vale."
39,"Essa camera com auto ajuste de foco, tem a qualidade vale o preço. Recomendo."
40,"Boa, captação de foco automático."
41,"O produto funciona bem, mas não tem uma compatibilidade boa com a freqüência da rede elétrica o que causa flicker durante a gravação se a lampada tiver acesa. Não é um produto para ser vendido no brasil."
42,Qualidade da imagem muito ruim.
43,Testei e funcionou. Digitando até ter 30 caracteres.
44,"Ótimo custo benefício. Qualidade de imagem e captação. De áudio muito bom para quem precisa assistir aulas, reuniões e eventos por vídeo conferência. Recomendo!."
45,Para meu propósito de substituir a câmera e microfone do notebook dell inspirion 5457 (conflito na atualização do windows) foi ótima. Funcionou perfeitamente nas reuniões online.
46,"Produto com boa resolução, atende minhas necessidades."
47,"Boa, funciona bem fácil de instalar. Para melhor qualidade do vídeo o local tem que estar bem iluminado."
48,"Imagem terrível, não presta!!!."
49,"Melhor webcam custo beneficio, recomendo à todos do ml. Pode comprar sem medo!."
50,"Imagem muito boa, para o que quero perfeita!."
51,Funciona perfeitamente.
52,Ótimo produto.
53,Responde a tudo que disse fazer.
54,Excelente!.
55,"Excelente câmera, qualidade da imagem é ótima e fácil de utilizar."
56,"O som é muito baixo, a imagem embaça demais quando o foco está muito próximo."
57,"Vez por outra dá uns bugs na imagem, mas é bem ok."
58,Muito bom. Atendeu perfeitamente asinhas necessidades.
59,Atendeu minhas expectativas.
60,"Funciona perfeitamente, muito bom o produto."
61,Recomendo.
62,Apaixonada na minha câmera! muito feliz com minha compra.
63,Pelo pouco que conheço de câmeras essa apresenta ser boa. Fácil instalação e fácil de uso. Gostei da imagem. Recomendo.
64,Produro exelente e de otima qualidade.
65,Ótima qualidade.
66,Boa câmera!.
67,Cumpre o que promete. Ótima qualidade de imagem e microfone perfeito.
68,"Camera excelente, qualidade da imagem ótima e de fácil instalação."
69,Câmera de ótima resolução e o zoom funciona muito bem.
70,Muito bom produto. Instalado e funcionando perfeitamente. Recomendo.
71,Eu recomendo já uso faz tempo e é muito boa.
72,Produto de alta qualidade. Estou satisfeita.
73,Nota 10 para a câmera! funciona muito bem para reuniões de trabalho!.
74,Equipamento espetacular. Superou as expectativas.
75,Muito bom. Dentro do q precisava.
76,Produto atendeu minhas expectativas.
77,Excelente custo benefício. Para as minhas reuniões e aulas virtuais a câmera foi excelente.
78,A câmera tem boa qualidade de imagem e serviu muito bem aos meus propósitos. Entretanto para quem quer vídeos com 60 fps tem que comprar um modelo superior pois esta só vai a 30 fps. Para mim está ótimo.
79,"Excelente produto , recomendo."
80,"Ameeeei, otima qualidade de imagem."
81,Excelente qualidade de som e imagem.
82,"Excelente, uma ótima escolha, estou gostando muito."
83,Pensei até que não fosse a original. Ela não tem a mesma qualidade da outra que eu tenho aqui e fica desfocando.
84,"Excelente produto, estou satisfeito."
85,"Muito boa, imagem perfeita custo benefício exelente."
86,"Achri muito boa, pelo prevo com certeza vale mto a pena e pra comecar live streaming e suficiente."
87,"Boa qualidade de imagem, vídeo nítido."
88,"De acordo com o anunciado, bom produto, recomendo!."
89,Muito bom e super economico um produto excelente.
90,Foco muito brilhante. Não se consegue um equilíbrio mesmo nos ajustes.
